Device Label, Date, Time, Duration
Admission Right Respone,8/26/2021,16:25:54.285,00:00:28.405
Admission Right Respone,8/26/2021,16:12:46.579,00:00:02.107
Admission Right Respone,8/26/2021,16:20:07.141,00:00:00.850
Admission Right Respone,8/26/2021,16:56:19.980,00:00:00.426
Admission Right Respone,8/26/2021,16:48:12.549,00:00:00.425
Admission Right Respone,8/26/2021,16:05:18.384,00:00:00.393
Admission Right Respone,8/26/2021,16:35:23.603,00:00:00.388
Admission Right Respone,8/26/2021,16:15:30.523,00:00:00.307
Admission Right Respone,8/26/2021,16:04:15.449,00:00:00.300
Admission Right Respone,8/26/2021,16:07:30.626,00:00:00.299
Admission Right Respone,8/26/2021,16:23:32.722,00:00:00.271
Admission Right Respone,8/26/2021,16:45:17.258,00:00:00.271
Admission Right Respone,8/26/2021,16:11:20.275,00:00:00.253
Admission Right Respone,8/26/2021,16:41:06.474,00:00:00.252
Admission Right Respone,8/26/2021,16:59:24.509,00:00:00.247
Admission Right Respone,8/26/2021,16:20:03.539,00:00:00.239
Admission Right Respone,8/26/2021,16:20:33.961,00:00:00.235
Admission Right Respone,8/26/2021,16:23:01.420,00:00:00.225
Admission Right Respone,8/26/2021,16:59:47.219,00:00:00.225
Admission Right Respone,8/26/2021,16:22:08.713,00:00:00.219
Admission Right Respone,8/26/2021,16:19:28.309,00:00:00.218
Admission Right Respone,8/26/2021,16:11:46.421,00:00:00.217
Admission Right Respone,8/26/2021,16:55:45.523,00:00:00.215
Admission Right Respone,8/26/2021,16:26:40.253,00:00:00.214
Admission Right Respone,8/26/2021,16:11:35.349,00:00:00.211
Admission Right Respone,8/26/2021,16:44:01.021,00:00:00.211
Admission Right Respone,8/26/2021,16:11:39.114,00:00:00.210
Admission Right Respone,8/26/2021,16:06:37.242,00:00:00.207
Admission Right Respone,8/26/2021,16:20:50.385,00:00:00.207
Admission Right Respone,8/26/2021,16:06:34.014,00:00:00.205
Admission Right Respone,8/26/2021,16:16:03.933,00:00:00.203
Admission Right Respone,8/26/2021,16:04:17.485,00:00:00.201
Admission Right Respone,8/26/2021,16:11:36.502,00:00:00.201
Admission Right Respone,8/26/2021,16:14:37.937,00:00:00.201
Admission Right Respone,8/26/2021,16:12:30.277,00:00:00.200
Admission Right Respone,8/26/2021,16:20:15.814,00:00:00.199
Admission Right Respone,8/26/2021,16:20:49.150,00:00:00.197
Admission Right Respone,8/26/2021,16:36:52.176,00:00:00.197
Admission Right Respone,8/26/2021,16:48:14.159,00:00:00.195
Admission Right Respone,8/26/2021,16:12:07.155,00:00:00.194
Admission Right Respone,8/26/2021,16:20:12.273,00:00:00.194
Admission Right Respone,8/26/2021,16:40:35.012,00:00:00.191
Admission Right Respone,8/26/2021,16:09:23.204,00:00:00.190
Admission Right Respone,8/26/2021,16:20:17.364,00:00:00.189
Admission Right Respone,8/26/2021,16:06:35.035,00:00:00.188
Admission Right Respone,8/26/2021,16:06:31.999,00:00:00.185
Admission Right Respone,8/26/2021,16:26:41.233,00:00:00.185
Admission Right Respone,8/26/2021,16:32:28.764,00:00:00.185
Admission Right Respone,8/26/2021,16:47:09.549,00:00:00.185
Admission Right Respone,8/26/2021,16:11:48.905,00:00:00.184
Admission Right Respone,8/26/2021,16:29:38.387,00:00:00.184
Admission Right Respone,8/26/2021,16:39:34.891,00:00:00.184
Admission Right Respone,8/26/2021,16:47:20.947,00:00:00.184
Admission Right Respone,8/26/2021,16:16:49.105,00:00:00.183
Admission Right Respone,8/26/2021,16:36:48.932,00:00:00.183
Admission Right Respone,8/26/2021,16:11:47.805,00:00:00.182
Admission Right Respone,8/26/2021,16:20:02.320,00:00:00.181
Admission Right Respone,8/26/2021,16:12:29.183,00:00:00.180
Admission Right Respone,8/26/2021,16:20:14.163,00:00:00.180
Admission Right Respone,8/26/2021,16:26:56.572,00:00:00.180
Admission Right Respone,8/26/2021,16:32:50.013,00:00:00.180
Admission Right Respone,8/26/2021,16:08:23.639,00:00:00.179
Admission Right Respone,8/26/2021,16:12:34.480,00:00:00.178
Admission Right Respone,8/26/2021,16:30:20.774,00:00:00.178
Admission Right Respone,8/26/2021,16:33:05.329,00:00:00.178
Admission Right Respone,8/26/2021,16:04:51.210,00:00:00.177
Admission Right Respone,8/26/2021,16:26:52.175,00:00:00.177
Admission Right Respone,8/26/2021,16:33:06.638,00:00:00.177
Admission Right Respone,8/26/2021,16:04:31.878,00:00:00.176
Admission Right Respone,8/26/2021,16:09:22.184,00:00:00.176
Admission Right Respone,8/26/2021,16:13:09.802,00:00:00.176
Admission Right Respone,8/26/2021,16:32:27.779,00:00:00.176
Admission Right Respone,8/26/2021,16:47:10.604,00:00:00.176
Admission Right Respone,8/26/2021,16:03:21.582,00:00:00.175
Admission Right Respone,8/26/2021,16:08:10.610,00:00:00.175
Admission Right Respone,8/26/2021,16:12:05.552,00:00:00.175
Admission Right Respone,8/26/2021,16:12:42.876,00:00:00.175
Admission Right Respone,8/26/2021,16:16:59.508,00:00:00.175
Admission Right Respone,8/26/2021,16:16:17.095,00:00:00.174
Admission Right Respone,8/26/2021,16:17:37.095,00:00:00.174
Admission Right Respone,8/26/2021,16:29:47.193,00:00:00.174
Admission Right Respone,8/26/2021,16:20:10.567,00:00:00.173
Admission Right Respone,8/26/2021,16:26:55.044,00:00:00.173
Admission Right Respone,8/26/2021,16:41:03.717,00:00:00.173
Admission Right Respone,8/26/2021,16:46:41.891,00:00:00.173
