Device Label, Date, Time, Duration
Admission Right,8/26/2021,16:00:22.299,00:00.3
Admission Right,8/26/2021,16:01:01.051,00:00.2
Admission Right,8/26/2021,16:02:07.853,00:00.2
Admission Right,8/26/2021,16:07:04.467,00:00.3
Admission Right,8/26/2021,16:07:51.913,00:00.2
Admission Right,8/26/2021,16:08:51.855,00:00.2
Admission Right,8/26/2021,16:10:04.506,00:00.3
Admission Right,8/26/2021,16:13:09.675,00:00.3
Admission Right,8/26/2021,16:15:05.348,00:00.2
Admission Right,8/26/2021,16:15:56.511,00:00.3
Admission Right,8/26/2021,16:16:47.634,00:00.3
Admission Right,8/26/2021,16:19:48.556,00:00.2
Admission Right,8/26/2021,16:21:40.137,00:00.2
Admission Right,8/26/2021,16:22:53.427,00:00.2
Admission Right,8/26/2021,16:23:55.858,00:00.4
Admission Right,8/26/2021,16:25:19.713,00:00.2
Admission Right,8/26/2021,16:25:54.366,00:28.3
Admission Right,8/26/2021,16:28:50.772,00:00.2
Admission Right,8/26/2021,16:30:06.990,00:00.7
Admission Right,8/26/2021,16:30:47.020,00:00.2
Admission Right,8/26/2021,16:31:20.961,00:00.2
Admission Right,8/26/2021,16:31:54.122,00:02.7
Admission Right,8/26/2021,16:36:04.468,00:00.2
Admission Right,8/26/2021,16:37:20.608,00:00.3
Admission Right,8/26/2021,16:37:51.056,00:00.2
Admission Right,8/26/2021,16:39:55.157,00:00.4
Admission Right,8/26/2021,16:41:02.489,00:00.2
Admission Right,8/26/2021,16:41:31.492,00:01.7
Admission Right,8/26/2021,16:43:08.585,00:00.2
Admission Right,8/26/2021,16:45:16.096,00:00.4
Admission Right,8/26/2021,16:45:41.242,00:03.3
Admission Right,8/26/2021,16:48:34.384,00:00.2
Admission Right,8/26/2021,16:53:48.267,00:00.2
Admission Right,8/26/2021,16:56:18.977,00:00.3
Admission Right,8/26/2021,16:56:51.946,00:00.3
Admission Right,8/26/2021,16:57:39.523,00:00.3
